bench,class,tool,tool_version,variant,mode,period_ns,timing_status,wns_ns,wns_reg2reg_ns,timing_basis,data_path_ns,critical_endpoint,num_cells,num_seq,retime_named_regs,area_um2,routed_wirelength_um,postroute_wns_ns,achieved_density_pct,path_route_share_pct,path_cell_delay_ns,path_net_delay_ns,max_route_layer,place_blockage_frac,power_mw,power_switching_mw,power_register_mw,power_logic_mw,power_clock_mw,power_sequential_mw,power_combinational_mw,power_mode,num_lut,num_ff,runtime_total_s,wall_seconds,sdc_sha1,git_commit
r01_reset_backward_barrier,A - reset / initial state,,,orig,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,,
r01_reset_backward_barrier,A - reset / initial state,,,orig,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,
r01_reset_backward_barrier,A - reset / initial state,,,retimed,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,directive,off,1.47,VIOLATED,-1.538,,,2.368,retime_s1_19_reg/D,926,99,99,44568.3729895,,,,,,,,,209.77,76.9277,80.3587,120.99300000000001,8.41837,,,probabilistic,,,40,48.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,directive,off,1.84,VIOLATED,-1.026,,,2.146,retime_s1_19_reg/D,985,99,99,47723.757685,,,,,,,,,179.81900000000002,67.342,67.06710000000001,106.027,6.7255400000000005,,,probabilistic,,,48,56.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,directive,off,2.3,VIOLATED,-0.584,,,2.211,retime_s1_18_reg/D,964,99,99,47551.062759,,,,,,,,,153.807,56.9694,54.7066,93.7201,5.3804300000000005,,,probabilistic,,,53,62.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,directive,off,2.88,VIOLATED,-0.086,,,2.278,retime_s1_5_reg/D,484,48,48,23504.225589,,,,,,,,,65.925,25.4869,22.2306,41.6111,2.08333,,,probabilistic,,,29,38.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,directive,off,3.6,MET,0.0,,,3.318,retime_s2_5_reg/D,323,48,48,17299.77980025,,,,,,,,,41.427600000000005,13.2728,16.1409,23.6201,1.66667,,,probabilistic,,,17,26.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,directive,off,4.8,MET,0.025,,,4.126,retime_s1_4_reg/D,268,45,45,15121.330314750001,,,,,,,,,27.707900000000002,7.9039,11.3174,15.2187,1.17187,,,probabilistic,,,15,23.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,directive,off,6.4,MET,0.006,,,5.756,retime_s1_13_reg/D,243,27,27,13331.049614,,,,,,,,,17.461199999999998,5.607220000000001,5.12318,11.8107,0.527344,,,probabilistic,,,15,24.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,directive,off,8.0,MET,0.006,,,7.334,retime_s1_22_reg/D,241,30,30,13159.5062595,,,,,,,,,14.399199999999999,4.10557,4.43731,9.493110000000001,0.46875,,,probabilistic,,,11,21.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,directive,off,10.4,MET,0.775,,,8.992,retime_s1_5_reg/D,211,30,30,12273.592926,,,,,,,,,10.3176,2.68756,3.4949,6.46211,0.360577,,,probabilistic,,,10,19.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,orig,off,3.6,VIOLATED,-2.026,,,4.933,q_reg[15]/D,588,24,0,27020.659923,,,,,,,,,63.003600000000006,28.5536,9.213940000000001,52.9563,0.833333,,,probabilistic,,,62,72.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,orig,off,4.8,VIOLATED,-0.844,,,4.959,q_reg[12]/D,574,24,0,25989.107681,,,,,,,,,43.8538,19.3288,7.4372300000000005,35.7916,0.625,,,probabilistic,,,73,83.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,orig,off,5.0,VIOLATED,-0.666,,,4.968,q_reg[15]/D,677,24,0,30256.193782000002,,,,,,,,,49.265499999999996,21.695,7.217829999999999,41.4476,0.6,,,,,,70,78.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,orig,off,6.4,MET,0.0,,,5.772,q_reg[15]/D,422,24,0,19967.63393775,,,,,,,,,24.8913,10.4625,4.87885,19.5437,0.46875,,,probabilistic,,,14,23.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,orig,off,8.0,MET,0.013,,,7.385,q_reg[14]/D,304,24,0,15403.967232750001,,,,,,,,,14.571000000000002,5.2326999999999995,3.6532299999999998,10.5428,0.375,,,probabilistic,,,11,21.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,orig,off,10.4,MET,0.002,,,9.772,q_reg[11]/D,249,24,0,13198.84831425,,,,,,,,,10.5709,3.4778000000000002,2.80504,7.47742,0.288462,,,probabilistic,,,9,17.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,orig,on,1.26,VIOLATED,-1.786,,,2.46,retime_s1_8_reg/D,922,98,98,43948.19178125,,,,,,,,,257.41999999999996,95.9923,99.7068,147.985,9.728169999999999,,,probabilistic,,,39,48.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,orig,on,1.58,VIOLATED,-1.321,,,2.214,retime_s1_19_reg/D,980,99,99,47047.855297250004,,,,,,,,,204.08399999999997,75.6636,76.2425,120.01,7.832280000000001,,,probabilistic,,,48,56.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,orig,on,1.97,VIOLATED,-1.019,,,2.394,retime_s1_30_reg/D,950,99,99,45674.7641275,,,,,,,,,172.68200000000002,64.5577,62.5865,103.81400000000001,6.2817300000000005,,,probabilistic,,,42,50.0,eae79ae3bec9,uncommitted
