bench,class,latency_preserving,primary_metric,tool,variant,mode,fmax_mhz,fmax_is_lower_bound,min_period_ns,n_runs,n_met,cells_at_fmax,seq_at_fmax,area_at_fmax_um2,wirelength_um,power_mw,compile_seconds_at_fmax
r01_reset_backward_barrier,A - reset / initial state,true,fmax,?,orig,,,,,2,0,,,,,,66.0
r01_reset_backward_barrier,A - reset / initial state,true,fmax,?,retimed,,,,,1,0,,,,,,23.0
r01_reset_backward_barrier,A - reset / initial state,true,fmax,genus,directive,off,277.8,,3.6,9,5,323,48,17299.77980025,,41.427600000000005,26.0
r01_reset_backward_barrier,A - reset / initial state,true,fmax,genus,orig,off,156.2,,6.4,6,3,422,24,19967.63393775,,24.8913,23.0
r01_reset_backward_barrier,A - reset / initial state,true,fmax,genus,orig,on,324.7,,3.08,16,12,400,48,20551.255549999998,,56.3263,25.0
r01_reset_backward_barrier,A - reset / initial state,true,fmax,genus,orig,on_reset,312.5,,3.2,5,3,382,48,19505.255002500002,,50.0482,28.0
r01_reset_backward_barrier,A - reset / initial state,true,fmax,genus,retimed,off,239.8,,4.17,12,8,426,24,20500.045426,,35.4858,21.0
r01_reset_backward_barrier,A - reset / initial state,true,fmax,innovus,orig,pnr,200.0,yes,5.0,1,1,277,42,,7531.135,16.21917427,79.0
r01_reset_backward_barrier,A - reset / initial state,true,fmax,openroad_syn,directive,unsupported,,,,5,0,249,32,,,5.64079,1.0
r01_reset_backward_barrier,A - reset / initial state,true,fmax,openroad_syn,orig,unsupported,,,,5,0,249,32,,,5.64079,1.0
r01_reset_backward_barrier,A - reset / initial state,true,fmax,openroad_syn,retimed,unsupported,96.2,,10.4,5,1,238,32,,,5.07697,1.0
r01_reset_backward_barrier,A - reset / initial state,true,fmax,vivado,directive,on,104.2,,9.6,5,2,84,32,,,109.0,40.0
r01_reset_backward_barrier,A - reset / initial state,true,fmax,vivado,orig,off,104.2,,9.6,5,2,84,32,,,109.0,41.0
r01_reset_backward_barrier,A - reset / initial state,true,fmax,vivado,orig,on,104.2,,9.6,5,2,84,32,,,109.0,36.0
r01_reset_backward_barrier,A - reset / initial state,true,fmax,vivado,retimed,off,125.0,,8.0,5,3,84,32,,,113.0,41.0
r01_reset_backward_barrier,A - reset / initial state,true,fmax,yosys,directive,off,,,,1,0,303,24,7070.112,,9.17,2.0
r01_reset_backward_barrier,A - reset / initial state,true,fmax,yosys,directive,on,125.0,,8.0,5,2,327,24,9884.0448,,8.059999999999999,2.0
r01_reset_backward_barrier,A - reset / initial state,true,fmax,yosys,orig,off,,,,5,0,303,24,7070.112,,7.05,2.0
r01_reset_backward_barrier,A - reset / initial state,true,fmax,yosys,orig,on,125.0,,8.0,5,2,327,24,9884.0448,,8.059999999999999,2.0
r01_reset_backward_barrier,A - reset / initial state,true,fmax,yosys,retimed,off,125.0,,8.0,5,2,306,24,6833.0304,,6.949999999999999,1.0
r01_reset_backward_barrier,A - reset / initial state,true,fmax,yosys,retimed,on,125.0,yes,8.0,1,1,330,24,9971.5392,,7.22,3.0
r02_reset_no_valid_init,A - reset / initial state,true,fmax,genus,directive,off,333.3,,3.0,5,4,433,51,22198.78820975,,58.2415,30.0
r02_reset_no_valid_init,A - reset / initial state,true,fmax,genus,orig,off,153.8,,6.5,5,1,421,24,19560.4101975,,24.633300000000002,21.0
r02_reset_no_valid_init,A - reset / initial state,true,fmax,genus,orig,on,333.3,,3.0,5,4,433,51,22198.78820975,,58.2415,30.0
r02_reset_no_valid_init,A - reset / initial state,true,fmax,genus,retimed,off,200.0,,5.0,5,2,346,25,16862.789608,,21.6756,18.0
r02_reset_no_valid_init,A - reset / initial state,true,fmax,openroad_syn,directive,unsupported,,,,5,0,245,32,,,25.3628,1.0
r02_reset_no_valid_init,A - reset / initial state,true,fmax,openroad_syn,orig,unsupported,,,,5,0,245,32,,,25.3628,1.0
r02_reset_no_valid_init,A - reset / initial state,true,fmax,openroad_syn,retimed,unsupported,,,,5,0,241,33,,,22.7271,1.0
r02_reset_no_valid_init,A - reset / initial state,true,fmax,vivado,directive,on,119.0,,8.4,5,2,84,32,,,112.0,35.0
r02_reset_no_valid_init,A - reset / initial state,true,fmax,vivado,orig,off,119.0,,8.4,5,2,84,32,,,112.0,35.0
r02_reset_no_valid_init,A - reset / initial state,true,fmax,vivado,orig,on,119.0,,8.4,5,2,84,32,,,112.0,41.0
r02_reset_no_valid_init,A - reset / initial state,true,fmax,vivado,retimed,off,119.0,,8.4,5,2,84,33,,,112.0,36.0
r02_reset_no_valid_init,A - reset / initial state,true,fmax,yosys,directive,off,,,,1,0,302,24,6926.1696,,14.8,2.0
r02_reset_no_valid_init,A - reset / initial state,true,fmax,yosys,directive,on,,,,5,0,325,24,9790.9056,,29.1,2.0
r02_reset_no_valid_init,A - reset / initial state,true,fmax,yosys,orig,off,,,,5,0,302,24,6926.1696,,32.9,2.0
r02_reset_no_valid_init,A - reset / initial state,true,fmax,yosys,orig,on,,,,5,0,325,24,9790.9056,,29.1,2.0
r02_reset_no_valid_init,A - reset / initial state,true,fmax,yosys,retimed,off,,,,5,0,323,25,6886.656,,23.7,2.0
r02_reset_no_valid_init,A - reset / initial state,true,fmax,yosys,retimed,on,200.0,yes,5.0,1,1,347,25,10143.7056,,11.700000000000001,1.0
r03_async_reset_blocker,A - reset / initial state,true,fmax,genus,directive,off,250.0,,4.0,5,3,270,37,15123.6402295,,31.2937,23.0
r03_async_reset_blocker,A - reset / initial state,true,fmax,genus,orig,off,153.8,,6.5,5,1,405,24,19386.79122975,,24.3921,21.0
r03_async_reset_blocker,A - reset / initial state,true,fmax,genus,orig,on,250.0,,4.0,5,3,270,37,15123.6402295,,31.2937,23.0
r03_async_reset_blocker,A - reset / initial state,true,fmax,genus,retimed,off,200.0,,5.0,5,2,251,24,13721.07897525,,23.8065,16.0
r03_async_reset_blocker,A - reset / initial state,true,fmax,openroad_syn,directive,unsupported,,,,5,0,225,32,,,36.5336,1.0
r03_async_reset_blocker,A - reset / initial state,true,fmax,openroad_syn,orig,unsupported,,,,5,0,225,32,,,36.5336,1.0
