bench,class,tool,tool_version,variant,mode,period_ns,timing_status,postroute_wns_reg2reg,postroute_tns_reg2reg,postroute_violating_reg2reg,num_ffs,num_ffs_pre_syn,num_cells,area_um2,routed_wirelength_um,achieved_density_pct,overflow_route,overflow_route_h_pct,overflow_route_v_pct,path_route_share_pct,path_cell_delay_ns,path_net_delay_ns,congestion_place_max_level,congestion_place_windows,congestion_route_max_level,congestion_route_windows,max_route_layer,place_blockage_frac,power_mw,power_switching_mw,power_register_mw,power_logic_mw,power_clock_mw,power_mode,num_lut,runtime_total_s,wall_seconds,sdc_sha1,git_commit
r01_reset_backward_barrier,A - reset / initial state,,,directive,,0.1284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,
r01_reset_backward_barrier,A - reset / initial state,,,orig,,0.1284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,
r01_reset_backward_barrier,A - reset / initial state,,,orig,,0.1284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,
r01_reset_backward_barrier,A - reset / initial state,,,orig,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,,
r01_reset_backward_barrier,A - reset / initial state,,,orig,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,
r01_reset_backward_barrier,A - reset / initial state,,,retimed,,0.1284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,
r01_reset_backward_barrier,A - reset / initial state,,,retimed,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,directive,off,0.1284,VIOLATED,,,,106,64,616,1661.67102475,,,,,,,,,,,,,,,12.1475,4.00569,6.39349,4.85308,0.900903,probabilistic,,43,56.0,6cef38b0bbd0,4f7c7a48
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,directive,off,0.1539,VIOLATED,,,,48,32,643,1624.26623375,,,,,,,,,,,,,,,12.324200000000001,5.407900000000001,3.78764,8.1961,0.340435,probabilistic,,47,55.0,6cef38b0bbd0,585535c
r01_reset_backward_barrier,A - reset / initial state,genus,23.12-s086_1,directive,off,0.1576,VIOLATED,,,,112,64,659,1828.8421024999998,,,,,,,,,,,,,,,10.7898,3.61158,5.8138499999999995,4.20049,0.775444,probabilistic,,44,55.0,6cef38b0bbd0,4f7c7a48
