bench,class,latency_preserving,primary_metric,tool,variant,mode,stress_period_ns,timing_status,tns_reg2reg,wns_reg2reg,violating_paths,num_ffs,num_ffs_pre_syn,cells,area_um2,wirelength_um,power_mw,compile_seconds,route_share_pct,overflow_route,overflow_h_pct,overflow_v_pct,congestion_max_level,achieved_density_pct
r01_reset_backward_barrier,A - reset / initial state,true,fmax,innovus-nangate45,directive,off,0.1539,VIOLATED,-3.679,-0.16,28.0,48,,693,,3798.11,8.51813206,113.0,0.87,0,0.0,0.0,,86.222
r01_reset_backward_barrier,A - reset / initial state,true,fmax,innovus-nangate45,orig,off,0.1539,VIOLATED,-0.052,-0.01,8.0,24,,672,,3099.14,14.75803008,110.0,1.43,0,0.0,0.0,,93.1
r01_reset_backward_barrier,A - reset / initial state,true,fmax,innovus-nangate45,orig,on,0.1539,VIOLATED,-3.679,-0.16,28.0,48,,693,,3798.11,8.51813206,112.0,0.87,0,0.0,0.0,,86.222
r01_reset_backward_barrier,A - reset / initial state,true,fmax,innovus-nangate45,retimed,off,0.1539,VIOLATED,-1.478,-0.191,8.0,24,,661,,3094.39,8.98604677,2702.0,0.32,0,0.0,0.0,,99.647
r01_reset_backward_barrier,A - reset / initial state,true,fmax,vivado-xc7a100t,directive,on,4.0,VIOLATED,-163.109,-4.549,,32,,84,,,136.0,351.0,,,,,,
r01_reset_backward_barrier,A - reset / initial state,true,fmax,vivado-xc7a100t,orig,off,4.0,VIOLATED,-163.109,-4.549,,32,,84,,,136.0,351.0,,,,,,
r01_reset_backward_barrier,A - reset / initial state,true,fmax,vivado-xc7a100t,orig,on,4.0,VIOLATED,-163.109,-4.549,,32,,84,,,136.0,353.0,,,,,,
r01_reset_backward_barrier,A - reset / initial state,true,fmax,vivado-xc7a100t,retimed,off,4.0,VIOLATED,-160.936,-3.198,,32,,84,,,138.0,337.0,,,,,,
r01_reset_backward_barrier,A - reset / initial state,true,fmax,vivado-xcau7p,directive,on,4.0,VIOLATED,-70.254,-2.241,,51,,113,,,178.0,269.0,,,,,,
r01_reset_backward_barrier,A - reset / initial state,true,fmax,vivado-xcau7p,orig,off,4.0,VIOLATED,-70.254,-2.241,,51,,113,,,178.0,277.0,,,,,,
r01_reset_backward_barrier,A - reset / initial state,true,fmax,vivado-xcau7p,orig,on,4.0,VIOLATED,-70.254,-2.241,,51,,113,,,178.0,281.0,,,,,,
r01_reset_backward_barrier,A - reset / initial state,true,fmax,vivado-xcau7p,retimed,off,4.0,VIOLATED,-54.968,-0.816,,51,,70,,,178.0,297.0,,,,,,
r01_reset_backward_barrier,A - reset / initial state,true,fmax,vivado2023.1-xc7a100t,directive,on,12.0,MET,0.0,2.698,,32,,84,,,105.0,39.0,,,,,,
